Play Area: 2.1m x 3.4m, 1.447934
24 courses available, 1.4537
Play Area: 2.1m x 3.4m, 1.896606
24 courses available, 1.903144
Tare feet, 185.5009
Loaded course_6_swing, 196.1385
Subject navigating course: True, 250.835
Off course, 273.3041
Back on course, 273.981
Off course, 275.8135
Back on course, 275.8582
Off course, 275.8686
Back on course, 277.4684
Off course, 280.156
Back on course, 282.1219
collide*(0.5031, 0.0656, 0.7322)*CollisionTracker_LF*(-0.0483, -0.0323, -0.0419) *(0.0539, -0.3580, -0.2158)*(0.4004, 0.0504, 0.6906)*Foot*(0.6007, 0.0778, 0.7821), 647.1009
collide*(0.0256, 0.0496, 1.1788)*CollisionTracker_RF*(0.0621, -0.0148, -0.0264) *(0.4890, -0.0791, -0.0193)*(0.1291, 0.0391, 1.1362)*Foot*(-0.0167, 0.0587, 1.1463), 649.5275
collide*(0.0474, 0.0516, 1.1083)*CollisionTracker_LF*(-0.1002, -0.0508, 1.5470) *(1.6226, -0.8381, 6.4081)*(-0.0167, 0.0587, 1.1463)*Foot*(0.1304, 0.0402, 1.1349), 649.5324
collide*(0.1033, 0.0857, 1.4015)*CollisionTracker_LF*(0.0317, -0.0333, -0.0556) *(0.3744, 0.1940, -0.2303)*(0.1343, 0.0666, 1.5080)*Foot*(0.1140, 0.0908, 1.2926), 650.3608
collide*(0.1032, 0.0916, 1.4051)*CollisionTracker_RF*(0.1781, -0.2616, 1.0164) *(6.1944, -3.4349, 4.9484)*(0.1141, 0.0892, 1.2940)*Foot*(0.1343, 0.0666, 1.5080), 650.3668
collide*(0.2909, 0.0521, 1.5778)*CollisionTracker_LF*(1.2253, 0.0088, 0.5297) *(5.2904, -2.3928, 0.0854)*(0.3141, 0.0528, 1.6584)*Foot*(0.3392, 0.0387, 1.5135), 651.2269
collide*(0.3522, 0.0440, 1.6277)*CollisionTracker_RF*(-0.0060, -0.0076, -0.0373) *(-0.1372, -0.2185, 1.0869)*(0.3401, 0.0378, 1.5151)*Foot*(0.3141, 0.0528, 1.6584), 651.2323
collide*(0.5686, 0.0630, 1.6038)*CollisionTracker_LF*(0.0016, 0.0084, -0.0123) *(-0.1569, -0.1597, -0.5290)*(0.6548, 0.0203, 1.6630)*Foot*(0.4914, 0.0859, 1.5438), 653.0153
collide*(0.5615, 0.0506, 1.6249)*CollisionTracker_RF*(1.3894, -0.1825, -0.0876) *(9.4814, -6.0960, -1.2366)*(0.4925, 0.0842, 1.5446)*Foot*(0.6548, 0.0203, 1.6630), 653.0203
pressed_ButtonBig(Clone), 654.2493
